user_name,url,created_at,map1,votes1,map2,votes2,map3,votes3,total_votes,percent1,percent2,percent3,winner
chosen_ow,https://www.twitch.tv/videos/2502252001,2025-07-03,SURAVASA,2,JUNKERTOWN,2,SAMOA,2,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,draw
chosen_ow,https://www.twitch.tv/videos/2501362632,2025-07-02,COLOSSEO,2,WATCHPOINT: GIBRALTAR,4,HOLLYWOOD,2,8,0.25,0.5,0.25,WATCHPOINT: GIBRALTAR
chosen_ow,https://www.twitch.tv/videos/2501362632,2025-07-02,AATLIS,3,NUMBANI,1,COLOSSEO,4,8,0.375,0.125,0.5,COLOSSEO
chosen_ow,https://www.twitch.tv/videos/2501362632,2025-07-02,SHAMBALI MONASTERY,1,DORADO,0,AATLIS,9,10,0.1,0.0,0.9,AATLIS
chosen_ow,https://www.twitch.tv/videos/2501362632,2025-07-02,CIRCUIT ROYAL,3,KING'S ROW,7,HAVANA,0,10,0.3,0.7,0.0,KING'S ROW
chosen_ow,https://www.twitch.tv/videos/2501362632,2025-07-02,AATLIS,2,ESPERANÇA,3,BUSAN,4,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,BUSAN
chosen_ow,https://www.twitch.tv/videos/2501362632,2025-07-02,ILIOS,6,OASIS,4,RIALTO,0,10,0.6,0.4,0.0,ILIOS
chosen_ow,https://www.twitch.tv/videos/2501362632,2025-07-02,JUNKERTOWN,0,CIRCUIT ROYAL,4,AATLIS,2,6,0.0,0.6666666666666666,0.3333333333333333,CIRCUIT ROYAL
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,CIRCUIT ROYAL,5,JUNKERTOWN,0,EICHENWALDE,2,7,0.7142857142857143,0.0,0.2857142857142857,CIRCUIT ROYAL
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,ROUTE 66,0,AATLIS,1,RUNASAPI,8,9,0.0,0.1111111111111111,0.8888888888888888,RUNASAPI
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,ESPERANÇA,0,RIALTO,1,SURAVASA,4,5,0.0,0.2,0.8,SURAVASA
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,AATLIS,2,NEW QUEEN STREET,5,HOLLYWOOD,0,7,0.2857142857142857,0.7142857142857143,0.0,NEW QUEEN STREET
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,BLIZZARD WORLD,0,ILIOS,3,NUMBANI,1,4,0.0,0.75,0.25,ILIOS
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,HAVANA,2,RIALTO,1,ANTARCTIC PENINSULA,2,5,0.4,0.2,0.4,draw
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,NEW JUNK CITY,6,ESPERANÇA,1,NEPAL,0,7,0.8571428571428571,0.14285714285714285,0.0,NEW JUNK CITY
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,SURAVASA,5,KING'S ROW,2,MIDTOWN,0,7,0.7142857142857143,0.2857142857142857,0.0,SURAVASA
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,HOLLYWOOD,2,KING'S ROW,3,DORADO,1,6,0.3333333333333333,0.5,0.16666666666666666,KING'S ROW
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,CIRCUIT ROYAL,4,NEW JUNK CITY,4,SHAMBALI MONASTERY,0,8,0.5,0.5,0.0,draw
hadi_ow,https://www.twitch.tv/videos/2501681489,2025-07-02,PARAÍSO,0,SHAMBALI MONASTERY,4,BLIZZARD WORLD,4,8,0.0,0.5,0.5,draw
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,BUSAN,6,AATLIS,3,NEW QUEEN STREET,0,9,0.6666666666666666,0.3333333333333333,0.0,BUSAN
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,ILIOS,1,ANTARCTIC PENINSULA,0,RUNASAPI,5,6,0.16666666666666666,0.0,0.8333333333333334,RUNASAPI
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,DORADO,6,HAVANA,0,SURAVASA,2,8,0.75,0.0,0.25,DORADO
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,BUSAN,5,ROUTE 66,2,EICHENWALDE,1,8,0.625,0.25,0.125,BUSAN
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,RUNASAPI,3,ILIOS,2,NEW JUNK CITY,2,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,RUNASAPI
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,SAMOA,9,ROUTE 66,0,WATCHPOINT: GIBRALTAR,1,10,0.9,0.0,0.1,SAMOA
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,ESPERANÇA,5,COLOSSEO,0,CIRCUIT ROYAL,2,7,0.7142857142857143,0.0,0.2857142857142857,ESPERANÇA
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,BUSAN,4,AATLIS,0,CIRCUIT ROYAL,1,5,0.8,0.0,0.2,BUSAN
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,KING'S ROW,6,MIDTOWN,0,LIJIANG TOWER,1,7,0.8571428571428571,0.0,0.14285714285714285,KING'S ROW
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,AATLIS,3,BLIZZARD WORLD,0,NEPAL,3,6,0.5,0.0,0.5,draw
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,SHAMBALI MONASTERY,2,COLOSSEO,6,HAVANA,0,8,0.25,0.75,0.0,COLOSSEO
kraandop,https://www.twitch.tv/videos/2502566963,2025-07-03,CIRCUIT ROYAL,2,HAVANA,1,AATLIS,6,9,0.2222222222222222,0.1111111111111111,0.6666666666666666,AATLIS
kraandop,https://www.twitch.tv/videos/2501693731,2025-07-02,DORADO,0,PARAÍSO,0,HAVANA,9,9,0.0,0.0,1.0,HAVANA
kraandop,https://www.twitch.tv/videos/2501693731,2025-07-02,ROUTE 66,2,ILIOS,6,AATLIS,1,9,0.2222222222222222,0.6666666666666666,0.1111111111111111,ILIOS
kraandop,https://www.twitch.tv/videos/2501693731,2025-07-02,JUNKERTOWN,1,RUNASAPI,5,RIALTO,0,6,0.16666666666666666,0.8333333333333334,0.0,RUNASAPI
kraandop,https://www.twitch.tv/videos/2501693731,2025-07-02,RUNASAPI,5,MIDTOWN,2,SHAMBALI MONASTERY,3,10,0.5,0.2,0.3,RUNASAPI
kraandop,https://www.twitch.tv/videos/2501693731,2025-07-02,SURAVASA,1,ESPERANÇA,2,NEPAL,6,9,0.1111111111111111,0.2222222222222222,0.6666666666666666,NEPAL
kraandop,https://www.twitch.tv/videos/2501693731,2025-07-02,ANTARCTIC PENINSULA,3,EICHENWALDE,4,SHAMBALI MONASTERY,2,9,0.3333333333333333,0.4444444444444444,0.2222222222222222,EICHENWALDE
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,EICHENWALDE,6,HOLLYWOOD,2,AATLIS,1,9,0.6666666666666666,0.2222222222222222,0.1111111111111111,EICHENWALDE
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,RUNASAPI,3,AATLIS,1,ROUTE 66,0,4,0.75,0.25,0.0,RUNASAPI
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,ROUTE 66,2,PARAÍSO,1,ESPERANÇA,3,6,0.3333333333333333,0.16666666666666666,0.5,ESPERANÇA
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,DORADO,0,AATLIS,1,MIDTOWN,5,6,0.0,0.16666666666666666,0.8333333333333334,MIDTOWN
vulture_ow,https://www.twitch.tv/videos/2501321928,2025-07-02,SURAVASA,3,ILIOS,5,AATLIS,1,9,0.3333333333333333,0.5555555555555556,0.1111111111111111,ILIOS
